"SEXE"	"zep"	"poids"	"an"	"mois"	"taille"	"IMC"
"individus 2"	"F"	"O"	14	3	10	97	14.879370815177
"individus 3"	"G"	"O"	13.5	3	5	95.5	14.8022258161783
"individus 12"	"G"	"O"	15	3	9	101	14.7044407411038
"individus 24"	"G"	"O"	15.5	3	9	104.5	14.1938142441794
"individus 27"	"F"	"O"	15.2	3	10	103.5	14.1893626455693
"individus 41"	"F"	"O"	10.5	3	8	88.5	13.4061093555492
"individus 63"	"G"	"O"	12.7	3	9	95	14.0720221606648
"individus 68"	"F"	"O"	12	3	3	90.5	14.6515674124721
"individus 69"	"G"	"O"	13.3	3	7	95	14.7368421052632
"individus 82"	"G"	"O"	15	3	6	101	14.7044407411038
"individus 83"	"F"	"O"	14	3	5	97	14.879370815177
"individus 91"	"F"	"O"	12	3	2	90	14.8148148148148
"individus 94"	"F"	"O"	15.8	3	9	103	14.8930153643133
"individus 115"	"F"	"N"	15.2	3	10	102	14.6097654748174
"individus 124"	"G"	"N"	13.5	3	2	96.2	14.5875925501705
"individus 126"	"F"	"O"	14	3	7	100	14
"individus 144"	"F"	"N"	14	3	11	101	13.7241446916969
"individus 145"	"G"	"N"	13.7	3	2	96	14.8654513888889
"individus 150"	"F"	"N"	14.3	3	4	98	14.8896293211162
